page_title,change_from_last_week
2022 Uttar Pradesh Legislative Assembly election,14
2022 Uttar Pradesh Legislative Assembly election,12
2022 Uttar Pradesh Legislative Assembly election,12
2022 Uttar Pradesh Legislative Assembly election,12
2022 Uttar Pradesh Legislative Assembly election,12
2022 Uttar Pradesh Legislative Assembly election,12
2022 Uttar Pradesh Legislative Assembly election,12
2022 Uttar Pradesh Legislative Assembly election,12
2022 Uttar Pradesh Legislative Assembly election,12
2022 Uttar Pradesh Legislative Assembly election,12
