page_id,page_title,users_reverted_2021
1357536,Maharana Pratap,116
201856,Rani Lakshmibai,109
187726,Chandragupta Maurya,97
34348533,Muhammad Iqbal,84
4551,Babur,84
1652870,Heo Hwang-ok,77
28752,Shah Jahan,76
2278442,Ahilyabai Holkar,73
1650104,Suraj Mal,71
37821646,Alauddin Khalji,71
1712924,Mangal Pandey,70
2341023,Mihira Bhoja,65
319048,Vinayak Damodar Savarkar,65
1675777,Chandra Shekhar Azad,60
30873896,Madan Mohan Malaviya,59
3596415,Vikramaditya,57
59659,Vallabhbhai Patel,56
31058,Tipu Sultan,54
675662,Rana Sanga,52
10292,"Louis Mountbatten, 1st Earl Mountbatten of Burma",50
16294,Jahangir,50
297206,Brahmagupta,48
1003460,Razia Sultana,47
3036043,Bappa Rawal,47
303461,Vyasa,46
1308385,Lalitaditya Muktapida,44
1923472,Bhoja,44
333443,Reginald Dyer,43
852292,Muhammad of Ghor,42
204281,Subhas Chandra Bose,42
797298,Sher Shah Suri,41
45654,Dayananda Saraswati,39
4026647,Ram Prasad Bismil,39
133117,Sarojini Naidu,39
37486661,Muhammad Ali Jinnah,38
4172250,Savitribai Phule,37
486017,Syed Ahmad Khan,37
14055,Humayun,37
4445128,Hari Singh Nalwa,37
149337,Shivaji,37
651866,Firuz Shah Tughlaq,35
1198073,Harsha,35
1423137,Hemu,35
239318,Baji Rao I,35
609612,Birsa Munda,34
67095003,Audrey Truschke,33
461913,Liaquat Ali Khan,33
659907,Jyotirao Phule,33
5719150,Zorawar Singh Kahluria,32
519237,Ranjit Singh,32
273772,Sambhaji,32
783,Alexander the Great,32
19379,Mahatma Gandhi,31
648452,Veerappan,29
2051965,Prithviraj Chauhan,29
1239,Ashoka,28
39656690,Amar Singh I,28
1403172,Qutb al-Din Aibak,27
16243,Jawaharlal Nehru,26
433738,Muhammad ibn Qasim,25
