page_id,page_title,users_reverted_2021
20629,Maharashtra,111
2377,Andhra Pradesh,98
16966,Koh-i-Noor,91
590246,Indian Rebellion of 1857,88
478684,Vijayanagara Empire,75
227918,Gupta Empire,70
554578,Maurya Empire,69
43281,East India Company,69
265059,Partition of India,68
3747871,Mughal–Maratha Wars,65
67662580,Cyclone Tauktae,64
1235484,Azad Hind,61
450395,Maratha (caste),60
1058722,Faizabad,60
2499568,Independence Day (India),60
47898,Andaman and Nicobar Islands,59
1923487,Parmar,57
3578420,Assassination of Mahatma Gandhi,56
7208646,Jallianwala Bagh massacre,55
66402396,COVID-19 vaccination in India,54
63265538,COVID-19 pandemic in India,54
21476772,Vedic period,53
51162639,Breast tax,53
29429085,Thakur (title),52
166537,Jaipur,51
36270621,Sinauli excavation site,51
337662,Sati (practice),50
161022,Indian independence movement,50
20413485,2008 Mumbai attacks,50
311735,Operation Blue Star,49
1060317,Pallava dynasty,49
3099417,Rashtrakuta dynasty,49
6119559,Seuna (Yadava) dynasty,49
178710,Arunachal Pradesh,48
60396551,Zamindars of Bihar,47
50845933,Chahamanas of Shakambhari,47
432324,Mughal emperors,46
24717,Punjab,44
31291719,Abhira tribe,44
33091867,Siege of Chittorgarh (1567–1568),44
2642,Ajanta Caves,43
12830243,Battle of Chamkaur,43
44561540,Chutia people,41
4643575,Misl,40
1481651,Indo-Aryan peoples,40
63469998,COVID-19 lockdown in India,40
149330,Bharatiya Janata Party,39
201363,Historical Vedic religion,38
295402,Delhi Sultanate,37
2512470,Sikh Empire,37
16550108,Battle of Maonda and Mandholi,37
33991460,Tomara dynasty,36
142027,Third Battle of Panipat,36
203570,Durand Line,36
200282,Nalanda,35
2799982,Chera dynasty,35
2684847,Battle of Khanwa,35
342641,Pacific War,34
10434131,Nathu La and Cho La clashes,34
975385,Pandya dynasty,34
