page_title,number_users_reverted_Feb_2021,interesting
Pronay Halder,46,
Mumbai Saga,41,
Ravi Shastri,34,
Arjun Tendulkar,32,
K.G.F: Chapter 2,31,
Rubina Dilaik,30,
Ravi Zacharias,30,YES
English cricket team in India in 2020–21,29,
Rajiv Gandhi International Airport,28,YES
List of 2021 Indian Premier League personnel changes,26,
Master (2021 film),25,
Jasmin Bhasin,24,
Krishnappa Gowtham,24,
RRR (film),23,
Disha Ravi,23,
2021 Indian Premier League,22,
Ravichandran Ashwin,22,
Rashmika Mandanna,21,
Uttar Pradesh,21,YES
2021 Uttarakhand flood,21,
List of programmes broadcast by Sony SAB,20,
Aladdin – Naam Toh Suna Hoga,19,
Pogaru,19,
Radhe (2021 film),18,
ATK Mohun Bagan FC,18,
Salaar,18,
Chennai International Airport,18,
2020–2021 China–India skirmishes,18,
Dulquer Salmaan,17,
Kriti Sanon,17,
