page_title,number_users_reverted_Jan_to_Dec_2021
Radhe (2021 film),340
Master (2021 film),315
Beast (2022 film),297
K.G.F: Chapter 2,247
Pushpa: The Rise,216
Ghum Hai Kisikey Pyaar Meiin,211
Bigg Boss (Tamil season 5),187
Rashmika Mandanna,173
RRR (film),172
Varun Dhawan,171
Indian Idol,171
Antim: The Final Truth,169
Fear Factor: Khatron Ke Khiladi,168
Sooryavanshi,161
Sidharth Shukla,157
Shehnaaz Gill,149
Biryani,142
Dulquer Salmaan,139
Rishabh Pant,133
Hotstar,131
HAL Tejas,129
Marakkar: Lion of the Arabian Sea,127
List of programmes broadcast by Sony SAB,126
Bigg Boss (Telugu season 5),124
Rajiv Gandhi International Airport,123
Kempegowda International Airport,122
2021 Indian Premier League,121
Kiara Advani,121
2022 Punjab Legislative Assembly election,121
Kundali Bhagya,119
Mango,118
Saath Nibhaana Saathiya,117
Anangpal Tomar,117
Maharana Pratap,116
Sulthan (2021 film),116
Satyameva Jayate 2,116
Kannada cinema,115
Ravi Shastri,114
Rohit Sardana,114
K.G.F: Chapter 1,113
South Asia,112
India at the 2020 Summer Olympics,112
Anupamaa,112
Maharashtra,111
ATK Mohun Bagan FC,111
83 (film),111
Tony Kakkar,110
Dawood Ibrahim,109
Aladdin – Naam Toh Suna Hoga,109
Rani Lakshmibai,109
Avneet Kaur,109
Madhura Raja,108
Sushil Kumar,107
Kalpana Chawla,106
Sanskrit,105
Bipin Rawat,105
Indira Gandhi International Airport,105
Neha Kakkar,104
Bhagavad Gita,104
Hyderabad,103
