page_title,number_users_reverted_Jan_to_Nov_2021
Radhe (2021 film),324
Master (2021 film),302
K.G.F: Chapter 2,235
Beast (2022 film),232
Ghum Hai Kisikey Pyaar Meiin,201
Pushpa: The Rise,178
Indian Idol,171
RRR (film),170
Varun Dhawan,165
Fear Factor: Khatron Ke Khiladi,165
Rashmika Mandanna,156
Sooryavanshi,156
Sidharth Shukla,146
Antim: The Final Truth,145
Shehnaaz Gill,138
Biryani,137
Rishabh Pant,133
Dulquer Salmaan,128
Hotstar,127
List of programmes broadcast by Sony SAB,126
2021 Indian Premier League,121
Bigg Boss (Telugu season 5),121
Kiara Advani,120
Anangpal Tomar,117
Maharana Pratap,116
HAL Tejas,115
Rohit Sardana,114
Ravi Shastri,113
Kempegowda International Airport,112
Saath Nibhaana Saathiya,112
2022 Punjab Legislative Assembly election,112
Sulthan (2021 film),111
Kannada cinema,111
India at the 2020 Summer Olympics,110
Mango,110
Rajiv Gandhi International Airport,109
ATK Mohun Bagan FC,109
Tony Kakkar,109
Aladdin – Naam Toh Suna Hoga,106
Bigg Boss (Tamil season 5),106
Kundali Bhagya,106
Sushil Kumar,106
Rani Lakshmibai,105
Indira Gandhi International Airport,105
South Asia,104
Kalpana Chawla,103
Sanskrit,102
Maharashtra,101
Kriti Sanon,100
K.G.F: Chapter 1,100
Thalaivii,99
Kumbh Mela,99
Avneet Kaur,99
Marakkar: Lion of the Arabian Sea,99
Neha Kakkar,98
Vikram Batra,98
Dawood Ibrahim,98
Bhagavad Gita,97
Vijay Sethupathi,97
Mumbai Saga,96
