page_title,number_users_reverted_Jun_2021
Milkha Singh,48
Mihira Bhoja,40
Sooryavanshi,39
Indian Idol,36
Labana,32
Vidit Gujrathi,30
K.G.F: Chapter 2,28
Anangpal Tomar,27
Biryani,26
The Family Man (Indian TV series),26
COVID-19 vaccination in India,26
Karnataka State Road Transport Corporation,26
2022 Punjab Legislative Assembly election,25
CarryMinati,25
Tony Kakkar,24
Economy of West Bengal,24
Sidhu Moose Wala,24
Tamil Nadu,23
Kumkum Bhagya,23
Manoj Bajpayee,23
Pearl V Puri,23
Maharana Pratap,22
Ram Prasad Bismil,22
Rashmika Mandanna,21
Mango,21
Saath Nibhaana Saathiya,20
India at the 2020 Summer Olympics,20
ATK Mohun Bagan FC,20
Biharis,20
RRR (film),19
Neha Kakkar,19
Dilip Kumar,19
Happy (2006 film),19
Mahesh Babu,18
Umrao Singh Bhati,18
Pashupati Kumar Paras,18
Andhra Pradesh,17
Sunil Chhetri,17
Yami Gautam,17
Misl,17
Biswa Kalyan Rath,17
Shehnaaz Gill,16
Dulquer Salmaan,16
RadhaKrishn,16
Kannada,16
Vyasa,16
Bharatpur State,16
Karan Mehra,16
Azhagiya Theeye,16
Ghum Hai Kisikey Pyaar Meiin,15
Fear Factor: Khatron Ke Khiladi,15
Madhura Raja,15
Indian Rebellion of 1857,15
Ananya Panday,15
Raftaar,15
Anupamaa,14
Enthiran,14
Arjun Kapoor,14
Kuch Rang Pyar Ke Aise Bhi,14
Koo (social network),14
