page_title,number_users_reverted_Mar_2021
Delhi Capitals,65
Jathi Ratnalu,49
Kempegowda International Airport,37
Advaitha (actress),37
Mumbai Saga,36
English cricket team in India in 2020–21,36
Rishabh Pant,34
Teddy (film),34
Rashmika Mandanna,33
2021 Indian Premier League,32
Roohi (2021 film),32
RRR (film),30
Krithi Shetty,30
Kalpana Chawla,28
Taarak Mehta Ka Ooltah Chashmah,28
2021 Kerala Legislative Assembly election,27
Kumbh Mela,26
Holi,26
Tirath Singh Rawat,26
Naveen Polishetty,23
List of programmes broadcast by Sony SAB,22
Ghum Hai Kisikey Pyaar Meiin,21
Udham Singh,21
Ishan Kishan,20
Indian Idol,19
Kannada cinema,19
Rubina Dilaik,19
Petta (film),19
Jasprit Bumrah,19
Ram Charan,18
K.G.F: Chapter 2,17
Fear Factor: Khatron Ke Khiladi,17
Rajiv Gandhi International Airport,17
Maharashtra,17
Nora Fatehi,17
Mukesh Ambani,17
Netaji Subhas Chandra Bose International Airport,17
Rajbhar,17
Saina (film),17
Sooryavanshi,16
Dulquer Salmaan,16
Mumbai Indians,16
Nenjam Marappathillai (2021 film),16
Kullfi Kumarr Bajewala,16
Varun Dhawan,15
HAL Tejas,15
Anangpal Tomar,15
Satyameva Jayate 2,15
Indira Gandhi International Airport,15
Tiger Shroff,15
Uttar Pradesh,15
Indian 2,15
Mohit Sehgal,15
Radhe (2021 film),14
Hotstar,14
Maharana Pratap,14
Anupamaa,14
Dawood Ibrahim,14
Jasmin Bhasin,14
Mersal (film),14
