page_title,number_users_reverted_May_2021
Radhe (2021 film),126
Sushil Kumar,76
Ramdev,41
Cyclone Tauktae,39
Saath Nibhaana Saathiya,37
Ghum Hai Kisikey Pyaar Meiin,34
Ashwin Kumar Lakshmikanthan,33
RRR (film),31
Palanivel Thiagarajan,31
K. K. Aggarwal (cardiologist),30
Samay Raina,29
Fear Factor: Khatron Ke Khiladi,27
Krishnadevaraya,26
Neha Kakkar,25
Hotstar,23
Ahluwalia (caste),23
Master (2021 film),22
K.G.F: Chapter 2,22
Maratha (caste),22
Central Vista Redevelopment Project,22
List of programmes broadcast by Sony SAB,21
Gandhi (film),19
Sooryavanshi,18
Rohit Sardana,17
Economy of West Bengal,17
Asaram,17
2021 Indian Premier League,16
Krithi Shetty,16
Tamil Nadu,16
Sai Pallavi,16
Godi media,16
Gujarat,16
Sonu Sood,16
COVID-19 pandemic in India,16
Indian locomotive class WAG-7,16
Humsafar Express,16
Maharana Pratap,15
Chandragupta Maurya,15
Saath Nibhaana Saathiya 2,15
Cow urine,15
The Walt Disney Company India,15
Nithya Menen,15
SARS-CoV-2 Delta variant,15
Mehul Choksi,15
Indian Medical Association,15
Padma Seshadri Bala Bhavan,15
Indian locomotive class WAG-9,15
Janam TV,15
ATK Mohun Bagan FC,14
Dawood Ibrahim,14
Ganges,14
Soorarai Pottru,14
Ahilyabai Holkar,14
Dilip Joshi,14
Shreya Ghoshal,14
Pallava dynasty,14
Tirunelveli district,14
Cyclone Yaas,14
Indian locomotive class WAP-7,14
Pushpa: The Rise,13
