page_title,number_users_reverted_Nov_2021,interesting
Master (2021 film),66,
Sooryavanshi,55,
Jai Bhim (film),43,
Ghum Hai Kisikey Pyaar Meiin,29,
Maanaadu,29,
Antim: The Final Truth,28,
Satyameva Jayate 2,28,
Barrister Babu,28,
Sukumara Kurup,28,YES
New Zealand cricket team in India in 2021–22,28,
Beast (2022 film),27,
Rajiv Gandhi International Airport,26,YES
Ek Villain Returns,25,
2022 Indian Premier League,25,
Kamal Ranadive,24,YES
Bigg Boss (Telugu season 5),23,
Anupamaa,23,
Bunty Aur Babli 2,23,
Marakkar: Lion of the Arabian Sea,22,
Madhura Raja,22,
Tadap (2021 film),22,
Naagin (2015 TV series),22,
Balika Vadhu 2,22,
Vikram Batra,21,
Rani Lakshmibai,20,
Tejasswi Prakash,20,
Puneeth Rajkumar,20,
Anupam Tripathi,20,
Cop Universe,19,
Sharvari Wagh,19,
Kempegowda International Airport,18,
2022 Punjab Legislative Assembly election,18,
Kundali Bhagya,18,
Chicken tikka masala,18,
Divya Khosla Kumar,18,
Shraddha Arya,18,
Urfi Javed,18,
Habibganj railway station,18,
2021–22 Syed Mushtaq Ali Trophy,18,
Pushpa: The Rise,17,
Shehnaaz Gill,17,
Darbar (film),17,
Kal Penn,17,
Meena (actress),16,
2023 Cricket World Cup,16,
Purvanchal Expressway,16,
Parag Agrawal,16,
HAL Tejas,15,
K.G.F: Chapter 1,15,
Faizabad,15,
Harshal Patel,15,
Chhath,15,
Babasaheb Purandare,15,
Indira Gandhi International Airport,14,
Vicky Kaushal,14,
Chandigarh Kare Aashiqui,14,
Dr. Rajkumar,14,
2022 Manipur Legislative Assembly election,14,
Irula people,14,
South Asia,13,
