page_title,number_users_reverted_Oct_2021,interesting
Beast (2022 film),74,
Bigg Boss (Tamil season 5),70,
Antim: The Final Truth,59,
Rudra Thandavam (2021 film),53,
Anupam Tripathi,48,
Barrister Babu,45,
ATK Mohun Bagan FC,43,
Ghum Hai Kisikey Pyaar Meiin,41,
Master (2021 film),38,
Rashmi Rocket,29,
Bigg Boss (Telugu season 5),26,
India national cricket team,26,
2022 Indian Premier League,26,
Shehnaaz Gill,25,
Hum Do Hamare Do,25,
Dulquer Salmaan,23,
Umran Malik,23,
Shardul Thakur,22,
Puneeth Rajkumar,22,
Mohammed Shami,21,
Bacthafucup,21,YES
Rudra: Boom Chik Chik Boom,21,
Varun Dhawan,20,
Dance Plus (season 6),20,
Pandya Store,19,
Sivaji Ganesan,19,
Gauri Khan,19,
Thalaivii,18,
Vijay Sethupathi,17,
Andhra Pradesh,17,YES
Ek Villain Returns,17,
Sudeep,17,
Reginald Dyer,17,YES
Kotigobba 3,17,
Uttarakhand,16,
Ishan Kishan,16,
Mangal Pandey,16,
Naga Chaitanya,16,
Jallianwala Bagh massacre,16,
Nawab Malik,16,
Aladdin – Naam Toh Suna Hoga,15,
Hyderabad,15,
Indian Super League,15,
Goa,15,
Dr. Rajkumar,15,
Ruturaj Gaikwad,15,
Varun Chakravarthy,15,
Breast tax,15,
Hotstar,14,
Marakkar: Lion of the Arabian Sea,14,
Ratan Tata,14,
StarPlus,14,
Shamita Shetty,14,
Bhramam,14,
Karan Kundrra,14,
Kushinagar International Airport,14,
Burari deaths,14,
Nedumudi Venu,14,
Sanjeev Sanyal,14,
Indira Gandhi International Airport,13,
