page_title,number_users_reverted_Sep_2021
Sidharth Shukla,66
Bigg Boss (Telugu season 5),50
Fear Factor: Khatron Ke Khiladi,48
Antim: The Final Truth,44
Thalaivii,42
Shardul Thakur,38
Beast (2022 film),34
Pramod Bhagat,31
Jijaji Chhat Parr Koii Hai,28
Radhe (2021 film),25
Super Singer (Tamil reality show),25
Bigg Boss (Tamil season 5),23
2022 Punjab Legislative Assembly election,23
Rohit Sharma,23
India at the 2020 Summer Paralympics,23
Joseph Kallarangatt,23
Indian roller,23
Keechaka Vadham,23
India national cricket team,22
Indian cricket team in England in 2021,22
Dosa,22
Viacom18,21
Master (2021 film),20
Battlegrounds Mobile India,20
Dulquer Salmaan,18
Vikram Batra,18
Divya Agarwal,18
Love Story (2021 film),18
Dance Plus (season 6),18
Dhruv Vikram,18
Varun Dhawan,17
Ishan Kishan,17
Mahabharat (1988 TV series),17
RRR (film),15
South India,15
Himalayas,15
Sarkaru Vaari Paata,15
Maurya Empire,15
Ruskin Bond,15
Kali,15
Vikram (actor),15
Firuz Shah Tughlaq,15
Tughlaq Durbar,15
2021–22 Kerala Blasters FC season,15
Pushpa: The Rise,14
Mariam-uz-Zamani,14
Ram Mandir,14
Vikramaditya,14
Ammayariyathe,14
Kudumi Mahato,14
2021 Durand Cup,14
Ghum Hai Kisikey Pyaar Meiin,13
Shehnaaz Gill,13
HAL Tejas,13
Maharashtra,13
Jannat Zubair Rahmani,13
Helly Shah,13
Mouni Roy,13
Atlee (director),13
Mamangam (2019 film),13
