page_title,number_users_reverted_Apr_2021
2021 Tamil Nadu Legislative Assembly election,32
Arvind Kejriwal,15
Vinayak Damodar Savarkar,15
All India Majlis-e-Ittehadul Muslimeen,14
Rashtriya Swayamsevak Sangh,14
All India Trinamool Congress,13
Next Indian general election,13
2020 Delhi riots,13
Naam Tamilar Katchi,12
Pramod Sawant,12
2021 West Bengal Legislative Assembly election,11
Sitaram Yechury,11
All India Anna Dravida Munnetra Kazhagam,10
Jaya Bachchan,10
Left Democratic Front,10
Baldev Singh Mann,10
Uddhav Thackeray,9
Kerala Congress (Joseph),9
Dravida Munnetra Kazhagam,8
Nandamuri Balakrishna,8
Reservation in India,8
Sunil Dutt,8
Anil Deshmukh,8
Narendra Modi,7
Rakesh Tikait,7
Partition of India,7
Bihar Legislative Assembly,7
Communist Party of India (Marxist),7
Kerala Congress,7
Telugu Desam Party,7
Sumitra Mahajan,7
Madvi Hidma,7
West Bengal Legislative Assembly,6
J. Jayalalithaa,6
Vallabhbhai Patel,6
"Louis Mountbatten, 1st Earl Mountbatten of Burma",6
National Democratic Alliance,6
K. Surendran (politician),6
COVID-19 lockdown in India,6
Vice President of India,6
Eknath Khadse,6
Justice Party (India),6
Audimulapu Suresh,6
K.C. Veeramani,6
Muhammad Iqbal,5
Edappadi K. Palaniswami,5
Lalu Prasad Yadav,5
Chandra Shekhar Azad,5
Sambit Patra,5
M. G. Ramachandran,5
Union Council of Ministers,5
OpIndia,5
Pranab Mukherjee,5
Shashi Tharoor,5
Ramesh Pokhriyal,5
Naxalite–Maoist insurgency,5
B. P. Mandal,5
Tirupati (Lok Sabha constituency),5
"Embassy of Afghanistan, New Delhi",5
Chiranjeevi,4
