page_title,number_users_reverted_Feb_2021
Rakesh Tikait,19
2021 Tamil Nadu Legislative Assembly election,18
Amit Shah,14
Muhammad Iqbal,13
Narendra Modi,13
Subhas Chandra Bose,12
J. Jayalalithaa,11
Union Council of Ministers,11
Bajrang Dal,11
All India Trinamool Congress,10
Nirmala Sitharaman,10
"Louis Mountbatten, 1st Earl Mountbatten of Burma",10
Operation Blue Star,10
Gurjara-Pratihara dynasty,10
Prafulla Chandra Ghosh,10
2021 elections in India,9
V. K. Sasikala,9
Maharashtra Legislative Assembly,8
Edappadi K. Palaniswami,8
Partition of India,8
Reservation in India,8
Separatist movements of India,8
2021 West Bengal Legislative Assembly election,7
Chiranjeevi,7
Dravida Munnetra Kazhagam,7
Mamata Banerjee,7
Bharatiya Janata Party,7
Indigenous Aryanism,7
Udit Raj,7
All India Anna Dravida Munnetra Kazhagam,6
Arvind Kejriwal,6
Lok Janshakti Party,6
Rajendra Prasad,6
2020–2021 Indian farmers' protest,6
Hindutva,6
Hema Malini,6
K. Kamaraj,6
2021 Puducherry Legislative Assembly election,6
T. Rajendar,6
Gram panchayat,6
Yoshirō Mori,6
Jatiyo Bangla Sammelan,6
Alauddin Khalji,5
Bihar Legislative Assembly,5
Vinayak Damodar Savarkar,5
Lalu Prasad Yadav,5
Vallabhbhai Patel,5
Dharmendra,5
Sambit Patra,5
N. Chandrababu Naidu,5
Sharad Pawar,5
Sarojini Naidu,5
Akhilesh Yadav,5
N. T. Rama Rao,5
Students' Federation of India,5
Pranab Mukherjee,5
2020 Indian agriculture acts,5
Puducherry Legislative Assembly,5
Member of the Legislative Assembly (India),5
Jai Shri Ram,5
