page_title,number_users_reverted_Jan_to_Nov_2021
2021 Tamil Nadu Legislative Assembly election,215
2022 Uttar Pradesh Legislative Assembly election,179
All India Trinamool Congress,140
Lok Sabha,92
2021 West Bengal Legislative Assembly election,91
Muhammad Iqbal,84
West Bengal Legislative Assembly,80
Chiranjeevi,75
Edappadi K. Palaniswami,73
Narendra Modi,70
Rakesh Tikait,70
Next Indian general election,69
All India Anna Dravida Munnetra Kazhagam,69
Arvind Kejriwal,68
Dravida Munnetra Kazhagam,67
J. Jayalalithaa,66
Maharashtra Legislative Assembly,66
Pawan Kalyan,65
Partition of India,64
Vinayak Damodar Savarkar,64
Bihar Legislative Assembly,64
Lalu Prasad Yadav,62
Alauddin Khalji,62
Fundamental rights in India,61
All India Majlis-e-Ittehadul Muslimeen,61
Lok Janshakti Party,59
Naam Tamilar Katchi,59
Communist Party of India (Marxist),58
Nandamuri Balakrishna,58
Chandra Shekhar Azad,57
2021 elections in India,56
2022 Indian presidential election,56
Vallabhbhai Patel,55
Madan Mohan Malaviya,55
Dharmendra,52
Suvendu Adhikari,51
Praful Khoda Patel,50
2008 Mumbai attacks,48
National Democratic Alliance,47
"Louis Mountbatten, 1st Earl Mountbatten of Burma",46
Operation Blue Star,46
Uttar Pradesh Legislative Assembly,46
Mamata Banerjee,45
Proposed states and union territories of India,45
Rajendra Prasad,44
Union Council of Ministers,44
2022 Goa Legislative Assembly election,43
M. G. Ramachandran,42
2021 Indian farmers' Republic Day violence,42
N. Chandrababu Naidu,42
Uddhav Thackeray,42
Syed Ali Shah Geelani,42
Venkaiah Naidu,42
Subhas Chandra Bose,41
K. Surendran (politician),40
2020–2021 Indian farmers' protest,40
Sharad Pawar,40
Navjot Singh Sidhu,40
Chirag Paswan,38
Muhammad Ali Jinnah,37
