page_title,number_users_reverted_Jul_2021
Lok Sabha,26
Jyoti Basu,23
B. S. Yediyurappa,20
Karan Singh,16
2022 Indian presidential election,15
2022 Uttar Pradesh Legislative Assembly election,14
Chiranjeevi,14
Arvind Kejriwal,14
Nandamuri Balakrishna,14
Chandra Shekhar Azad,14
Lok Janshakti Party,13
Virbhadra Singh,13
National Democratic Alliance,12
Maharashtra Legislative Assembly,11
Mansukh Mandaviya,11
Fundamental rights in India,10
Vinayak Damodar Savarkar,10
Proposed states and union territories of India,10
Second Modi ministry,10
K. Annamalai,10
All India Trinamool Congress,9
Amarinder Singh,9
"Ministry of Environment, Forest and Climate Change",9
T. Raja Singh,9
Pushkar Singh Dhami,9
2021 West Bengal Legislative Assembly election,8
Narendra Modi,8
Rakesh Tikait,8
Pawan Kalyan,8
Communist Party of India (Marxist),8
Dharmendra,8
2008 Mumbai attacks,8
Venkaiah Naidu,8
2021 Indian farmers' Republic Day violence,8
Akhilesh Yadav,8
Manish Sisodia,8
N. Chandrababu Naidu,7
Chirag Paswan,7
"Citizenship (Amendment) Act, 2019",7
Hindu Mahasabha,7
K. Kamaraj,7
United Progressive Alliance,7
The Emergency (India),7
Dharmendra Pradhan,7
Syama Prasad Mukherjee,7
Sarbananda Sonowal,7
Anant Kumar Singh,7
Muhammad Iqbal,6
Indian National Congress,6
Motilal Nehru,6
Nationalist Congress Party,6
Kanimozhi,6
Tamil Nadu Muslim Munnetra Kazagham,6
Ministry of Women and Child Development,6
Kerala Congress (Thomas),6
All India Anna Dravida Munnetra Kazhagam,5
All India Majlis-e-Ittehadul Muslimeen,5
Alauddin Khalji,5
Nirmala Sitharaman,5
Union Council of Ministers,5
