page_title,number_users_reverted_Mar_2021
2021 Tamil Nadu Legislative Assembly election,85
2021 West Bengal Legislative Assembly election,30
Vinayak Damodar Savarkar,20
Narendra Modi,16
Edappadi K. Palaniswami,15
All India Trinamool Congress,14
2021 Puducherry Legislative Assembly election,14
Lok Sabha,13
Muhammad Iqbal,13
J. Jayalalithaa,13
Maharashtra Legislative Assembly,13
Kerala Congress,13
Arvind Kejriwal,12
Prafulla Chandra Ghosh,12
Dravida Munnetra Kazhagam,11
Bihar Legislative Assembly,11
Anil Deshmukh,11
Lalu Prasad Yadav,10
Naam Tamilar Katchi,10
Kerala Congress (Joseph),10
Indian Secular Front,10
West Bengal Legislative Assembly,9
2021 elections in India,9
"Louis Mountbatten, 1st Earl Mountbatten of Burma",9
Venkaiah Naidu,9
Uddhav Thackeray,9
Jana Sena Party,9
United Democratic Front (Kerala),9
Maha Vikas Aghadi,9
Vice President of India,9
Bal Thackeray,9
All India Anna Dravida Munnetra Kazhagam,8
All India Majlis-e-Ittehadul Muslimeen,8
Mamata Banerjee,8
COVID-19 lockdown in India,8
Viduthalai Chiruthaigal Katchi,8
V. K. Ebrahimkunju,8
Communist Party of India (Marxist),7
Sharad Pawar,7
Bharatiya Janata Party,7
Hindu nationalism,7
Chiranjeevi,6
Partition of India,6
Khushbu,6
Akbaruddin Owaisi,6
Naveen Patnaik,6
Next Indian general election,5
Alauddin Khalji,5
Nandamuri Balakrishna,5
Chandra Shekhar Azad,5
Dharmendra,5
Suvendu Adhikari,5
K. Surendran (politician),5
Nitish Kumar,5
Akhilesh Yadav,5
Students' Federation of India,5
Telangana Legislative Assembly,5
K. Chandrashekar Rao,5
Rashtriya Swayamsevak Sangh,5
Left Democratic Front,5
