page_title,number_users_reverted_Sep_2021
Syed Ali Shah Geelani,36
2022 Uttar Pradesh Legislative Assembly election,35
Bhupendrabhai Patel,24
Muhammad Ali Jinnah,22
Pawan Kalyan,21
Navjot Singh Sidhu,21
Raja Mahendra Pratap,21
All India Trinamool Congress,19
Sukhjinder Singh Randhawa,14
Madan Mohan Malaviya,13
West Bengal Legislative Assembly,11
Sarvepalli Radhakrishnan,10
2021 West Bengal Legislative Assembly election,9
Punjab Legislative Assembly,9
Students' Federation of India,9
2017 Uttar Pradesh Legislative Assembly election,9
All India Majlis-e-Ittehadul Muslimeen,8
Proposed states and union territories of India,8
Death of Subhas Chandra Bose,8
Bhagat Singh,8
Biju Janata Dal,8
Alauddin Khalji,7
Next Indian general election,7
J. Jayalalithaa,7
OpIndia,7
Preamble to the Constitution of India,7
Lala Lajpat Rai,7
Hari Singh,7
Social Democratic Party of India,7
Vijay Rupani,7
Nagaland Legislative Assembly,7
S. Ramadoss,7
Shrikant Jichkar,7
Hari Shankar Tiwari,7
Dravida Munnetra Kazhagam,6
Bihar Legislative Assembly,6
Naam Tamilar Katchi,6
Nirmala Sitharaman,6
Subhas Chandra Bose,6
Tamil Nadu Legislative Assembly,6
Statue of Unity,6
Mizoram Legislative Assembly,6
Communist Party of India (Marxist–Leninist) Liberation,6
Rashtriya Loktantrik Party,6
Allahabad (Lok Sabha constituency),6
Chiranjeevi,5
Partition of India,5
2021 elections in India,5
2008 Mumbai attacks,5
Lal Bahadur Shastri,5
V. K. Sasikala,5
Second Modi ministry,5
Khushbu,5
Hindu Mahasabha,5
C. Rajagopalachari,5
State governments of India,5
Indira Gandhi,5
Bhabanipur (Vidhan Sabha constituency),5
2022 Goa Legislative Assembly election,4
Fundamental rights in India,4
