page_id,page_title,users_reverted_2021
319048,Vinayak Damodar Savarkar,65
303461,Vyasa,46
499358,Thiruvalluvar,44
4285,Bodhidharma,41
174267,Chaitanya Mahaprabhu,39
45651,Sarvepalli Radhakrishnan,36
19379,Mahatma Gandhi,31
297166,Narayana Guru,30
144178,Sathya Sai Baba,27
16243,Jawaharlal Nehru,26
42154,Krishna,25
20238168,14th Dalai Lama,25
3395,Gautama Buddha,22
1082730,Madhvacharya,20
539155,Kazi Nazrul Islam,19
236750,Mahavira,19
11891,George Orwell,17
23475401,Sri Aurobindo,15
51335,Amartya Sen,14
2458898,Ahmad Sirhindi,13
23806,Patanjali,13
10566279,Abul A'la Maududi,12
301483,Ramana Maharshi,12
276599,Subhash Kak,12
186184,Adi Shankara,11
271975,Al-Biruni,11
143475,Paramahansa Yogananda,10
80072,Vandana Shiva,10
204310,Xuanzang,10
72080,Charvaka,9
1154896,Hemachandra,9
21435679,Ram Puniyani,8
5052533,Rabindranath Tagore,8
45660,Swami Vivekananda,8
1071011,Ramanuja,7
179095,Jiddu Krishnamurti,7
448028,Bhaktisiddhanta Sarasvati,7
17656430,Periyar,7
347105,Mother Teresa,7
851595,Prabhat Ranjan Sarkar,6
3026718,Vallabha,6
55933803,Akshobhya Tirtha,6
2701938,Bagha Jatin,6
2316236,Kancha Ilaiah,6
561941,Kanada (philosopher),5
329426,Max Müller,5
11846110,Jayanta Bhatta,5
740780,Vātsyāyana,4
25564137,Rakesh Jhaveri,4
45652,Ram Mohan Roy,4
1415070,Lalon,4
286067,Ananda Coomaraswamy,4
61415038,Vidyadhiraja Tirtha,4
58425013,Jadunath Sinha,3
291214,Buddhaghosa,3
197386,Padmasambhāva,3
22149,Nagarjuna,3
60342,Asanga,3
1554967,Ahmad Nadeem Qasmi,3
4495892,Jayatirtha,3
